date,location,value
1994-09,Science Centre Singapore,36.8
1994-09,Jurong Birdpark,na
1994-09,Night Safari,na
1994-09,River Safari,na
1994-09,Singapore Zoological Gardens,103.1
1994-09,Chinese/japanese Gardens,137.8
1994-10,Asian Civilisations Museum,na
1994-10,National Museum Of Singapore,29.4
1994-10,Singapore Art Museum,na
1994-10,Singapore Philatelic Museum,na
1994-10,The Peranakan Museum,na
1994-10,Science Centre Singapore,32.5
1994-10,Jurong Birdpark,na
1994-10,Night Safari,na
1994-10,River Safari,na
1994-10,Singapore Zoological Gardens,86.6
1994-10,Chinese/japanese Gardens,10.7
1994-11,Asian Civilisations Museum,na
1994-11,National Museum Of Singapore,39.4
1994-11,Singapore Art Museum,na
1994-11,Singapore Philatelic Museum,na
1994-11,The Peranakan Museum,na
1994-11,Science Centre Singapore,102.7
1994-11,Jurong Birdpark,na
1994-11,Night Safari,na
1994-11,River Safari,na
1994-11,Singapore Zoological Gardens,138.9
1994-11,Chinese/japanese Gardens,13.7
1994-12,Asian Civilisations Museum,na
1994-12,National Museum Of Singapore,19.3
1994-12,Singapore Art Museum,na
1994-12,Singapore Philatelic Museum,na
1994-12,The Peranakan Museum,na
1994-12,Science Centre Singapore,58.4
1994-12,Jurong Birdpark,na
1994-12,Night Safari,na
1994-12,River Safari,na
1994-12,Singapore Zoological Gardens,144.4
1994-12,Chinese/japanese Gardens,12.8
1995-01,Asian Civilisations Museum,na
1995-01,National Museum Of Singapore,12.7
1995-01,Singapore Art Museum,na
1995-01,Singapore Philatelic Museum,na
1995-01,The Peranakan Museum,na
1995-01,Science Centre Singapore,32.1
1995-01,Jurong Birdpark,na
1995-01,Night Safari,na
1995-01,River Safari,na
1995-01,Singapore Zoological Gardens,92.7
1995-01,Chinese/japanese Gardens,8.8
1995-02,Asian Civilisations Museum,na
1995-02,National Museum Of Singapore,10.9
1995-02,Singapore Art Museum,na
1995-02,Singapore Philatelic Museum,na
1995-02,The Peranakan Museum,na
1995-02,Science Centre Singapore,50.7
1995-02,Jurong Birdpark,na
1995-02,Night Safari,na
1995-02,River Safari,na
1995-02,Singapore Zoological Gardens,86.2
1995-02,Chinese/japanese Gardens,10.2
1995-03,Asian Civilisations Museum,na
1995-03,National Museum Of Singapore,14.4
1995-03,Singapore Art Museum,na
1995-03,Singapore Philatelic Museum,na
1995-03,The Peranakan Museum,na
1995-03,Science Centre Singapore,31.5
1995-03,Jurong Birdpark,na
1995-03,Night Safari,na
1995-03,River Safari,na
1995-03,Singapore Zoological Gardens,128.2
1995-03,Chinese/japanese Gardens,12.4
1995-04,Asian Civilisations Museum,na
1995-04,National Museum Of Singapore,14
1995-04,Singapore Art Museum,na
1995-04,Singapore Philatelic Museum,na
1995-04,The Peranakan Museum,na
1995-04,Science Centre Singapore,27.9
1995-04,Jurong Birdpark,na
1995-04,Night Safari,na
1995-04,River Safari,na
1995-04,Singapore Zoological Gardens,97.8
1995-04,Chinese/japanese Gardens,9.2
1995-05,Asian Civilisations Museum,na
1995-05,National Museum Of Singapore,14.9
1995-05,Singapore Art Museum,na
1995-05,Singapore Philatelic Museum,na
1995-05,The Peranakan Museum,na
1995-05,Science Centre Singapore,48.9
1995-05,Jurong Birdpark,na
1995-05,Night Safari,na
1995-05,River Safari,na
